M x N x K	Time(s)	        GFLOPS     Threads    
1024x1024x1024	0.021035 s	102.0910 	4
1024x1024x1024	0.024003 s	89.4673 	4
128x128x128	0.003579 s	23.4384 	4
1024x1024x1024	0.203867 s	210.6750 	4
1024x1024x1024	0.193044 s	222.4864 	6
2048x2048x2048	1.026087 s	334.8618 	6
2048x2048x2048	1.361704 s	252.3290 	12
4096x4096x4096	5.849513 s	469.9159 	6
4096x4096x4096	5.884225 s	467.1438 	6
4096x4096x4096	5.845168 s	470.2652 	6
8192x8192x8192	44.658899 s	492.4043 	6
4096x4096x4096	6.006742 s	457.6156 	6
